YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1881,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,23.36,21.76,20.16,999.90,999.90,999.90,22.86,999.90
1882,20.16,22.26,25.36,27.46,26.36,23.76,21.66,999.90,999.90,999.90,20.76,19.16,20.86,26.39,22.51,999.90,22.96
1883,999.90,21.56,25.36,27.26,26.66,24.36,22.66,22.96,22.46,21.76,19.46,17.76,20.08,26.43,23.33,21.23,22.76
1884,17.86,20.46,999.90,26.26,26.36,24.16,23.46,23.36,23.36,21.86,20.26,19.96,18.69,25.84,23.66,21.83,22.51
1885,20.26,22.76,24.16,26.56,26.96,23.56,22.76,23.86,23.76,22.86,20.76,20.46,20.99,25.89,23.39,22.46,23.18
1886,19.86,21.66,24.86,27.46,25.46,23.46,22.66,22.26,22.76,22.36,20.66,19.16,20.66,25.93,22.79,21.93,22.83
1887,20.36,21.26,24.96,26.76,25.46,23.16,22.06,22.66,22.26,21.86,20.86,19.26,20.26,25.73,22.63,21.66,22.57
1888,19.76,21.96,25.16,26.76,25.86,999.90,999.90,999.90,999.90,999.90,999.90,19.76,20.33,25.93,999.90,999.90,999.90
1889,19.66,22.26,25.06,27.16,27.26,23.96,22.96,22.96,22.96,21.96,20.86,19.36,20.56,26.49,23.29,21.93,23.07
1890,18.96,21.86,25.36,26.46,25.76,23.56,22.96,21.96,21.96,23.06,21.06,20.36,20.06,25.86,22.83,22.03,22.69
1891,19.76,22.36,24.86,26.96,27.76,24.56,22.66,23.16,23.86,22.86,21.66,20.96,20.83,26.53,23.46,22.79,23.40
1892,19.96,22.76,25.96,27.16,26.16,24.56,22.46,22.06,21.86,22.46,20.86,19.86,21.23,26.43,23.03,21.73,23.10
1893,20.46,22.66,24.26,26.16,25.36,23.26,22.36,22.36,22.46,22.16,20.86,18.76,20.99,25.26,22.66,21.83,22.68
1894,20.56,22.26,25.96,26.36,25.56,23.66,22.96,22.76,22.66,22.86,20.46,20.26,20.53,25.96,23.13,21.99,22.90
1895,20.36,21.96,24.86,25.56,26.36,24.56,22.26,22.66,22.96,22.26,21.36,19.46,20.86,25.59,23.16,22.19,22.95
1896,19.66,22.46,25.26,28.16,26.86,23.96,23.26,22.66,23.46,23.26,22.36,20.66,20.53,26.76,23.29,23.03,23.40
1897,21.46,24.36,26.36,27.46,27.86,24.66,23.46,23.36,22.56,22.96,21.86,19.86,22.16,27.23,23.83,22.46,23.92
1898,20.16,22.36,24.76,27.36,26.86,23.96,23.36,23.66,22.66,23.16,20.76,19.86,20.79,26.33,23.66,22.19,23.24
1899,19.56,22.36,24.86,25.66,25.36,23.96,24.26,23.96,22.76,23.16,20.56,19.46,20.59,25.29,24.06,22.16,23.03
1900,21.66,23.76,26.26,27.56,28.16,24.76,23.36,23.26,22.86,22.76,21.66,20.86,21.63,27.33,23.79,22.43,23.79
1901,22.16,23.26,24.56,27.26,25.96,23.86,22.96,22.96,23.96,23.16,21.86,19.47,22.09,25.93,23.26,22.99,23.57
1902,20.27,21.87,25.47,26.87,26.67,24.77,23.47,23.87,22.67,22.47,21.47,20.88,20.54,26.34,24.04,22.20,23.28
1903,21.18,22.98,25.98,27.28,26.48,24.38,23.08,22.68,22.68,22.38,20.28,19.28,21.68,26.58,23.38,21.78,23.36
1904,19.68,21.58,24.88,26.98,25.48,22.78,22.18,22.68,23.18,22.98,20.88,19.69,20.18,25.78,22.55,22.35,22.71
1905,20.59,23.29,25.39,26.49,26.59,24.49,23.49,23.29,23.19,22.79,21.69,19.99,21.19,26.16,23.76,22.56,23.41
1906,21.89,23.89,24.79,28.49,28.09,24.39,22.99,22.69,21.99,22.69,21.89,20.30,21.92,27.12,23.36,22.19,23.65
1907,20.30,22.80,25.10,25.40,26.20,23.70,23.00,22.10,23.40,23.30,21.60,20.41,21.13,25.57,22.93,22.77,23.10
1908,20.81,22.31,24.51,27.81,26.21,24.61,22.31,22.61,23.31,23.31,21.31,20.01,21.18,26.18,23.18,22.64,23.29
1909,20.91,22.91,25.71,26.71,25.81,24.31,22.61,23.11,22.41,23.11,22.41,21.32,21.28,26.08,23.34,22.64,23.34
1910,20.92,22.62,25.72,27.62,27.32,24.22,23.42,22.32,21.92,22.52,20.22,18.73,21.62,26.89,23.32,21.55,23.34
1911,20.83,21.13,25.13,27.03,26.33,24.03,22.63,22.73,23.93,22.73,21.93,20.63,20.23,26.16,23.13,22.86,23.10
1912,20.23,23.93,25.93,27.73,27.93,24.13,22.83,22.93,23.23,22.53,21.03,19.54,21.60,27.20,23.30,22.26,23.59
1913,19.74,22.94,25.74,27.84,27.24,24.14,22.54,23.04,24.04,22.54,21.44,21.25,20.74,26.94,23.24,22.67,23.40
1914,19.95,23.35,26.05,27.15,27.35,25.35,23.05,22.85,23.75,22.85,21.75,21.45,21.52,26.85,23.75,22.78,23.73
1915,21.45,23.65,25.35,27.35,27.05,24.75,23.75,23.95,23.65,23.55,21.95,19.76,22.18,26.58,24.15,23.05,23.99
1916,19.86,23.06,25.76,27.96,26.56,23.26,23.46,22.56,22.76,22.76,21.26,19.57,20.89,26.76,23.09,22.26,23.25
1917,19.77,21.77,24.57,26.97,25.87,23.17,23.77,23.07,22.77,21.97,21.77,20.17,20.37,25.80,23.34,22.17,22.92
1918,20.07,21.27,24.07,26.77,25.07,23.77,23.97,23.27,23.37,24.07,22.87,20.78,20.50,25.30,23.67,23.44,23.23
1919,21.98,23.78,25.48,28.18,26.38,23.88,23.38,23.08,23.48,23.38,21.78,20.78,22.18,26.68,23.45,22.88,23.80
1920,20.28,23.28,25.98,27.08,27.28,24.48,23.38,23.18,23.38,23.28,21.78,19.99,21.45,26.78,23.68,22.81,23.68
1921,21.69,22.59,25.89,26.49,27.49,24.29,23.39,23.19,22.49,22.79,20.89,19.90,21.42,26.62,23.62,22.06,23.43
1922,21.10,22.30,26.00,27.50,26.40,24.10,22.90,23.10,23.30,22.60,21.50,19.40,21.10,26.63,23.37,22.47,23.39
1923,20.30,22.60,24.70,26.90,26.80,24.90,22.20,22.80,22.90,22.97,22.47,21.18,20.77,26.13,23.30,22.78,23.25
1924,21.08,23.48,25.28,28.08,27.48,23.78,22.38,22.78,22.78,22.98,21.48,20.19,21.91,26.95,22.98,22.41,23.56
1925,21.29,22.59,25.09,27.59,24.79,23.99,22.69,22.69,23.49,22.59,21.39,20.29,21.36,25.82,23.12,22.49,23.20
1926,21.39,22.99,25.99,26.89,27.59,26.09,23.89,23.09,22.99,22.99,21.89,21.10,21.56,26.82,24.36,22.62,23.84
1927,22.00,23.80,26.60,28.20,27.20,24.00,22.20,23.00,23.20,22.80,21.30,21.11,22.30,27.33,23.07,22.43,23.78
1928,21.61,23.01,25.21,27.61,27.81,24.51,22.91,22.41,23.71,22.81,21.71,20.31,21.91,26.88,23.28,22.74,23.70
1929,21.31,22.91,24.91,26.21,26.21,24.01,23.51,23.91,23.81,22.71,21.41,20.92,21.51,25.78,23.81,22.64,23.43
1930,21.12,22.52,25.22,27.22,25.72,24.52,23.22,23.22,23.42,22.62,21.32,20.72,21.52,26.05,23.65,22.45,23.42
1931,20.72,22.92,26.02,28.02,27.82,24.82,23.72,23.62,22.92,23.42,21.72,20.33,21.45,27.29,24.05,22.69,23.87
1932,19.63,22.53,24.53,27.73,26.03,24.03,22.83,23.63,22.73,23.03,21.73,20.24,20.83,26.10,23.50,22.50,23.23
1933,20.44,23.04,25.04,27.24,25.54,23.04,22.64,22.74,22.44,22.14,22.04,20.04,21.24,25.94,22.81,22.21,23.05
1934,20.64,22.14,24.84,27.04,27.04,24.24,23.44,22.84,23.94,23.44,20.64,19.55,20.94,26.31,23.51,22.67,23.36
1935,20.95,23.15,25.65,27.05,27.45,24.55,23.04,22.94,22.74,23.14,20.94,20.85,21.22,26.72,23.51,22.27,23.43
1936,21.75,23.85,25.25,27.75,27.05,23.15,23.05,22.85,23.55,23.15,21.95,21.45,22.15,26.68,23.02,22.88,23.68
1937,20.95,24.05,26.25,25.55,26.95,24.25,22.95,23.75,23.75,22.95,21.45,20.56,22.15,26.25,23.65,22.72,23.69
1938,21.36,24.26,26.46,27.76,27.16,23.76,23.06,22.76,22.86,22.36,21.56,20.97,22.06,27.13,23.19,22.26,23.66
1939,20.47,22.47,25.27,26.17,27.07,24.37,22.57,22.97,22.97,23.27,21.47,20.17,21.30,26.17,23.30,22.57,23.34
1940,19.47,22.67,25.97,26.87,25.47,24.27,23.07,22.97,23.47,23.37,21.47,20.68,20.77,26.10,23.44,22.77,23.27
1941,21.48,23.18,26.78,28.18,27.38,24.08,24.08,23.78,23.18,23.48,22.38,20.88,21.78,27.45,23.98,23.01,24.05
1942,20.98,23.38,25.98,28.08,27.78,24.78,23.38,23.08,23.38,23.38,21.58,21.49,21.75,27.28,23.75,22.78,23.89
1943,21.39,22.69,26.39,26.99,25.49,23.59,22.69,23.29,22.29,21.99,21.89,20.30,21.86,26.29,23.19,22.06,23.35
1944,21.40,23.00,23.90,26.80,27.50,24.50,22.90,23.80,23.30,23.30,22.30,20.60,21.57,26.07,23.73,22.97,23.58
1945,21.50,24.30,26.00,27.20,27.30,24.80,23.60,23.10,23.20,23.60,21.60,21.11,22.13,26.83,23.83,22.80,23.90
1946,20.31,22.91,26.31,27.51,26.91,24.51,23.21,23.01,23.21,23.41,22.01,20.62,21.44,26.91,23.58,22.88,23.70
1947,21.62,22.62,25.92,26.62,28.02,24.62,23.12,23.52,22.82,22.82,21.62,21.02,21.62,26.85,23.75,22.42,23.66
1948,21.62,24.12,25.82,27.82,26.62,24.62,23.32,23.02,23.12,23.42,22.92,20.53,22.25,26.75,23.65,23.15,23.95
1949,20.63,22.93,26.33,27.63,26.83,24.33,23.13,23.13,22.53,23.63,21.33,20.04,21.36,26.93,23.53,22.50,23.58
1950,20.94,23.54,26.04,27.94,27.74,24.14,22.84,23.44,999.90,999.90,999.90,999.90,21.51,27.24,23.47,999.90,23.78
1951,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1952,999.90,999.90,999.90,999.90,26.55,24.35,23.45,23.05,23.35,22.55,21.65,20.35,999.90,999.90,23.62,22.52,999.90
1953,20.95,21.95,26.15,26.15,27.65,25.05,22.95,23.15,23.15,23.15,21.05,20.16,21.08,26.65,23.72,22.45,23.48
1954,21.26,23.26,24.96,27.66,26.46,24.06,22.56,22.66,22.66,22.46,20.66,20.47,21.56,26.36,23.09,21.93,23.23
1955,20.47,23.07,25.17,26.67,25.27,23.87,23.17,22.17,23.77,23.37,20.97,19.37,21.34,25.70,23.07,22.70,23.20
1956,20.37,22.17,25.87,27.87,25.97,23.57,22.07,22.87,22.97,22.37,21.47,19.88,20.64,26.57,22.84,22.27,23.08
1957,20.38,22.68,24.48,26.68,27.08,23.78,22.98,23.28,23.48,23.48,21.78,21.19,20.98,26.08,23.35,22.91,23.33
1958,21.29,23.89,25.99,27.09,26.09,24.89,23.09,23.59,22.99,23.09,22.39,20.49,22.12,26.39,23.86,22.82,23.80
1959,21.49,23.39,25.49,27.49,27.29,23.99,22.49,23.09,23.49,23.59,21.99,20.80,21.79,26.76,23.19,23.02,23.69
1960,21.50,22.70,25.90,27.50,26.50,24.60,23.80,23.80,23.10,23.40,21.00,20.51,21.67,26.63,24.07,22.50,23.72
1961,20.81,23.71,26.71,27.71,26.31,23.91,22.51,23.31,23.31,23.01,21.41,20.61,21.68,26.91,23.24,22.58,23.60
1962,20.81,22.61,25.31,26.21,26.11,25.01,23.71,23.11,23.31,22.81,21.61,20.72,21.34,25.88,23.94,22.58,23.43
1963,20.22,21.72,25.12,26.42,27.02,24.42,24.12,23.42,24.12,23.22,22.22,20.72,20.89,26.19,23.99,23.19,23.56
1964,20.82,23.02,25.92,28.32,27.82,24.72,24.12,22.92,22.62,23.62,20.92,20.03,21.52,27.35,23.92,22.39,23.80
1965,20.13,22.33,25.33,26.43,27.13,24.73,23.53,23.33,23.93,24.73,22.83,21.13,20.83,26.30,23.86,23.83,23.70
1966,21.93,23.63,26.33,27.63,26.83,24.93,23.83,24.33,23.43,22.93,22.03,20.93,22.23,26.93,24.36,22.80,24.08
1967,20.53,21.83,24.83,27.33,27.13,24.53,22.33,22.53,23.03,22.13,999.90,21.04,21.10,26.43,23.13,22.08,23.18
1968,20.84,23.14,25.14,26.54,27.24,24.84,23.14,23.84,23.64,23.04,22.14,20.94,21.67,26.31,23.94,22.94,23.71
1969,20.84,23.54,26.54,27.84,26.84,24.94,23.54,23.64,23.04,22.94,22.04,20.44,21.77,27.07,24.04,22.67,23.89
1970,21.34,22.74,25.84,27.64,26.24,24.14,23.54,22.94,23.34,22.94,21.24,19.95,21.51,26.57,23.54,22.51,23.53
1971,21.55,22.75,24.75,27.05,26.55,23.15,23.55,23.25,23.75,22.95,21.05,19.85,21.42,26.12,23.32,22.58,23.36
1972,20.15,23.25,25.05,27.65,26.35,25.85,23.75,23.65,24.45,23.65,22.35,21.05,21.08,26.35,24.42,23.48,23.83
1973,21.55,23.55,26.15,28.45,27.55,24.85,24.05,22.55,23.55,23.25,21.75,20.26,22.05,27.38,23.82,22.85,24.02
1974,20.96,22.46,25.66,27.86,26.46,24.56,23.56,22.96,22.96,22.66,21.96,20.46,21.23,26.66,23.69,22.53,23.53
1975,20.76,23.96,26.06,28.06,26.56,23.76,22.96,22.96,22.96,22.66,20.96,19.96,21.73,26.89,23.23,22.19,23.51
1976,19.46,22.06,25.96,26.56,27.26,25.46,24.06,23.56,23.86,23.96,22.26,21.16,20.49,26.59,24.36,23.36,23.70
1977,21.06,23.06,25.56,27.36,25.76,24.26,23.46,23.66,24.16,23.16,22.36,20.77,21.76,26.23,23.79,23.23,23.75
1978,21.37,23.17,25.97,27.77,26.77,23.67,23.07,22.97,23.37,23.87,22.27,20.97,21.77,26.84,23.24,23.17,23.75
1979,21.67,23.77,25.97,28.27,27.57,24.97,23.87,23.47,23.47,23.57,22.47,21.77,22.14,27.27,24.10,23.17,24.17
1980,20.97,23.47,25.97,27.87,28.07,24.07,23.87,23.37,24.27,23.87,22.47,21.98,22.07,27.30,23.77,23.54,24.17
1981,21.88,23.78,25.78,28.08,27.48,24.28,24.48,23.08,23.58,23.68,22.28,20.58,22.55,27.11,23.95,23.18,24.20
1982,20.78,23.88,26.78,28.28,27.58,24.28,23.98,23.78,24.08,24.48,22.58,20.88,21.75,27.55,24.01,23.71,24.25
1983,21.38,25.58,27.78,29.08,28.28,25.28,24.48,23.58,23.08,23.58,21.98,21.19,22.61,28.38,24.45,22.88,24.58
1984,21.69,22.39,24.69,27.09,28.19,24.19,23.39,23.49,23.79,23.09,22.09,21.39,21.76,26.66,23.69,22.99,23.77
1985,21.99,24.29,26.69,28.09,27.69,23.99,23.29,23.69,24.29,22.99,21.49,21.69,22.56,27.49,23.66,22.92,24.16
1986,20.89,23.09,26.39,28.59,27.79,24.49,24.19,23.29,23.89,24.09,22.19,21.60,21.89,27.59,23.99,23.39,24.21
1987,21.20,22.60,25.30,28.00,27.70,25.10,24.80,23.90,25.00,24.10,22.80,21.40,21.80,27.00,24.60,23.97,24.34
1988,21.00,24.60,27.10,27.30,27.30,25.30,23.80,23.50,23.40,24.00,22.40,21.10,22.33,27.23,24.20,23.27,24.26
1989,21.10,23.30,25.50,28.00,27.50,24.50,23.50,23.20,23.80,24.00,22.20,21.31,21.83,27.00,23.73,23.33,23.98
